image_id,image_path,key,scientificName,issues,datasetKey,publishingOrgKey,networkKeys,installationKey,hostingOrganizationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,taxonRank,taxonomicStatus,dateIdentified,continent,stateProvince,gadm,higherGeography,year,month,day,eventDate,startDayOfYear,endDayOfYear,typeStatus,modified,lastInterpreted,references,license,isSequenced,identifier,facts,relations,institutionKey,collectionKey,isInCluster,datasetName,recordedBy,identifiedBy,preparations,nucleotideSequence,class,countryCode,recordedByIDs,identifiedByIDs,gbifRegion,country,publishedByGbifRegion,rightsHolder,identifier.1,recordNumber,habitat,institutionID,http...unknown.org.crawl_attempt,dynamicProperties,locality,fieldNumber,verbatimLocality,gbifID,language,collectionCode,occurrenceID,type,disposition,catalogNumber,institutionCode,occurrenceRemarks,accessRights,verbatimElevation,collectionID,name,sex,reproductiveCondition,decimalLatitude,decimalLongitude,projectId,speciesKey,species,genericName,specificEpithet,georeferencedBy,datasetID,samplingProtocol,geodeticDatum,acceptedNameUsage,nomenclaturalCode,georeferenceVerificationStatus,verbatimSRS,georeferenceRemarks,materialSampleID,parentNameUsageID,acceptedNameUsageID,ownerInstitutionCode,bibliographicCitation,higherClassification,parentNameUsage,iucnRedListCategory,vernacularName,individualCount,elevation,elevationAccuracy,nomenclaturalStatus,http...unknown.org.dateLastUpdated,taxonID,http...unknown.org.code,http...unknown.org.conceptualSchema,http...unknown.org.maxSearchResponseRecords,municipality,infraspecificEpithet,identificationQualifier,http...unknown.org.omitFromScheduledCrawl,distanceFromCentroidInMeters,fieldNotes,county,locationRemarks,otherCatalogNumbers,verbatimEventDate,island,http...unknown.org.recordID,rights,organismQuantity,organismQuantityType,dataGeneralizations,eventRemarks,http...unknown.org.recordEnteredBy,programmeAcronym,coordinateUncertaintyInMeters,georeferenceSources,http...unknown.org.license,http...unknown.org.rightsHolder,http...unknown.org.CatalogNumberNumeric,coordinatePrecision,taxonConceptID,http...unknown.org.taxonRankID,verbatimCoordinateSystem,http...unknown.org.species,verbatimTaxonRank,image_url,weak_flowering,download_status
HERB_0001,sample_images/HERB_0001.jpg,5106375611,Flemingia strobilifera (L.) W.T.Aiton,,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,98e934b0-5f31-11de-b67e-b8a03c50a862,"8e30b684-6a54-4aba-aa73-66201c2c736e,17abcf75-2f1e-46dd-bf75-a5b21dd02655",f6fe707e-cced-4efc-b5dc-be4c91b8180a,98e934b0-5f31-11de-b67e-b8a03c50a862,GB,DWC_ARCHIVE,2026-08-13T16:38:58.088+00:00,2026-08-24T20:20:06.473+00:00,445,PRESERVED_SPECIMEN,PRESENT,5359843,6,7707728,220,1370,5386,2975927,5359843,Flemingia strobilifera (L.) W.T.Aiton,Plantae,Tracheophyta,Fabales,Fabaceae,Flemingia,SPECIES,ACCEPTED,NA,ASIA,Sagaing,none,Myanmar (Burma),2019,3,7,2019-03-07,66,66,NA,2025-04-25T12:46:26.000+00:00,2026-08-24T20:20:06.473+00:00,NA,http://creativecommons.org/publicdomain/zero/1.0/legalcode,FALSE,https://data.rbge.org.uk/herb/E01539113,none,none,0237598a-853a-492c-af74-a723fe251799,427c8cd7-4358-4a00-9ef3-2b2676d28d1e,FALSE,Edinburgh (E) Herbarium Specimens,"Armstrong, Kathleen Ellen, Nwe, Thet Yu, Kramer, Marshall, Linn, Wah Wah, Myint, Thar, Pyae, Phoe La, Kyi, Aung & Nyo, Kyi",NA,HERBARIUM SHEET,none,Magnoliopsida,MM,none,none,ASIA,Myanmar,EUROPE,NA,https://data.rbge.org.uk/herb/E01539113,4369,Growing in disturbed vegetation around village.,https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799,445,NA,Nam Sa Bi village,NA,NA,5106375611,NA,E,https://data.rbge.org.uk/herb/E01539113,PhysicalObject,NA,E01539113,RBGE,NA,NA,NA,https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e,Flemingia strobilifera (L.) W.T.Aiton,NA,NA,NA,NA,NA,5359843,Flemingia strobilifera,Flemingia,strobilifera,NA,NA,NA,NA,NA,ICBN,NA,NA,NA,NA,NA,NA,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hkamti,NA,NA,7th March 2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC0,Royal Botanic Garden Edinburgh,1737659,NA,NA,NA,NA,NA,NA,https://iiif.rbge.org.uk/herb/iiif/E01539113/manifest,FALSE,not_image
HERB_0002,sample_images/HERB_0002.jpg,3969584725,Phaseolus lathyroides L.,inmafu,defb9a47-c1a7-4fb2-9a0b-2da7c5260cad,c4cbb860-e9c7-11da-8113-b8a03c50a862,"68e8e67a-43e6-44a3-8817-dc0e6b70f973,0479d6b2-a4f4-4307-8346-0b80e8c88c66",ac2ad091-91eb-482d-a73f-061744da5dbf,96710dc8-fecb-440d-ae3e-c34ae8a9616f,US,DWC_ARCHIVE,2026-08-22T14:49:41.590+00:00,2026-08-24T17:19:57.491+00:00,237,PRESERVED_SPECIMEN,PRESENT,5349386,6,7707728,220,1370,5386,2945015,2945063,Macroptilium lathyroides (L.) Urb.,Plantae,Tracheophyta,Fabales,Fabaceae,Macroptilium,SPECIES,SYNONYM,NA,NA,NA,none,NA,2021,7,29,2021-07-29,210,210,NA,2025-04-23T02:12:04.000+00:00,2026-08-24T17:19:57.491+00:00,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=30202946,http://creativecommons.org/publicdomain/zero/1.0/legalcode,FALSE,30202946,none,none,a68aaf8c-9bfe-4bec-bab9-70cf5d6cde4a,5a7702f8-a46a-40a0-9eef-26d97ea45b5c,FALSE,NA,J.A.J. Verheijen,R. Geesink,NA,none,Magnoliopsida,ID,none,none,ASIA,Indonesia,NORTH_AMERICA,Botanical Research Institute of Texas,30202946,4680,NA,NA,237,NA,Lesser Sunda Isl. W. Flores,NA,NA,3969584725,NA,BRIT,04a2f083-dc42-48d2-91fd-eddf3be148e0,NA,NA,BRIT620768,BRIT,NA,NA,140 m.,fea81a47-2365-45cc-bef9-b6bbff7457e6,Phaseolus lathyroides L.,NA,NA,NA,NA,NA,2945063,Macroptilium lathyroides,Phaseolus,lathyroides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,NA,NA,95007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29 JUL 2021,NA,04a2f083-dc42-48d2-91fd-eddf3be148e0,http://creativecommons.org/publicdomain/zero/1.0/,NA,NA,NA,NA,preprocessed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://web.corral.tacc.utexas.edu/brit/BRIT/BRIT0620000/BRIT620768.jpg,FALSE,ok
HERB_0003,sample_images/HERB_0003.jpg,5895915527,Elatostema platyphyllum Wedd.,"cdc,cdround,colmafu,inmafu",902c8fe7-8f38-45b0-854e-c324fed36303,f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc,NA,91d2f516-bdfa-458f-bad1-66717101b49f,f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc,RU,EML,2026-08-21T18:06:57.852+00:00,2026-08-21T18:14:15.705+00:00,610,PRESERVED_SPECIMEN,PRESENT,7300825,6,7707728,220,691,6639,2984362,7300825,Elatostema platyphyllum Wedd.,Plantae,Tracheophyta,Rosales,Urticaceae,Elatostema,SPECIES,ACCEPTED,NA,ASIA,NA,NA,South Asia|South Asia (Asia outside ex-Soviet states and Mongolia)|Vietnam,2024,3,18,2024-03-18,78,78,NA,2025-12-18T11:15:50.000+00:00,2026-08-21T18:14:15.705+00:00,https://plant.depo.msu.ru/open/public/item/MW1048455,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,MW1048455,none,none,df27e63f-82b2-464e-9286-a96163c961c9,acf523b0-8c81-4813-a85d-2361a8b487d4,FALSE,Moscow Digital Herbarium,Nguyen H.C.,NA,herbarium specimen,none,Magnoliopsida,VN,none,none,ASIA,Viet Nam,EUROPE,Moscow State University,MW1048455,NA,NA,http://grbio.org/institution/moscow-state-university,610,NA,NA,NA,NA,5895915527,en | ru,MW,MW1048455,Physical Object,in collection,MW1048455,Moscow State University,NA,use under CC-BY 4.0,NA,urn:lsid:biocol.org:col:15550,Elatostema platyphyllum Wedd.,NA,NA,21.757778,104.573889,https://rscf.ru/en/project/21-77-20042/,7300825,Elatostema platyphyllum,Elatostema,platyphyllum,Kollektor,urn:lsid:biocol.org:col:15550:01,common practice of herbarium collecting,WGS84,Elatostema platyphyllum Wedd.,"International Code of Nomenclature for algae, fungi, and plants",manual verification,WGS84,no label data,MW1048455,168637171,168664913,MSU,"Seregin A. P. (Ed.). 2026. Specimen MW1048455 from the collection ""Moscow University Herbarium"" // Depository of Live Systems (branch ""Plants""): Electronic resource. – Moscow State University, Moscow. – Available at: https://plant.depo.mitotech.ru/open/public/item/MW1048455 (indicate access date).",Plantae | Tracheophyta | Magnoliopsida | Rosales | Urticaceae | Urticoideae | Elatostema,Elatostema,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://plant.depo.msu.ru/open/public/item/MW1048455/img/0.jpg?gbif,FALSE,ok
HERB_0004,sample_images/HERB_0004.jpg,6196924951,Ixora javanica (Blume) DC.,"colmafu,inmafu",1cbed1d0-f9ac-4b9e-bf3f-a26272bca39e,4fd82480-ea1c-11da-8db4-b8a03c50a862,NA,82d6992a-b20b-4e74-b6ac-6b971b2c485d,4fd82480-ea1c-11da-8db4-b8a03c50a862,JP,EML,2026-07-10T16:35:10.312+00:00,2026-07-18T17:50:39.335+00:00,222,PRESERVED_SPECIMEN,PRESENT,2905700,6,7707728,220,412,8798,2905224,2905700,Ixora javanica (Blume) DC.,Plantae,Tracheophyta,Gentianales,Rubiaceae,Ixora,SPECIES,ACCEPTED,NA,ASIA,Kien Giang,NA,Asia|Vietnam|Kien Giang|Kien Luong Dist.|Mt. Mo So,2024,5,22,2024-05-22,143,143,NA,2025-10-16T00:00:00.000+00:00,2026-07-18T17:50:39.335+00:00,https://www.museum.kagoshima-u.ac.jp/hyouhonsitu.html,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,3bb7293a-11f7-4d31-88c0-bd61b0a72797,none,none,7b6590f0-c03f-409b-ae28-f443c1166d23,e9e6df05-e289-4a64-8ace-a4d5dbd168e4,FALSE,NA,NA,NA,NA,none,Magnoliopsida,VN,none,none,ASIA,Viet Nam,ASIA,NA,3bb7293a-11f7-4d31-88c0-bd61b0a72797,N493,NA,NA,232,NA,Mt. Mo So,NA,"Vietnam, Kien Giang, Kien Luong Dist., Mt. Mo So",6196924951,NA,KAG,3bb7293a-11f7-4d31-88c0-bd61b0a72797,NA,NA,KAG188596,KAG,NA,NA,NA,NA,Ixora javanica (Blume) DC.,NA,NA,10.2277,104.61743,NA,2905700,Ixora javanica,Ixora,javanica,NA,NA,NA,WGS84,NA,NA,NA,NA,obtained using GPS machine,NA,NA,NA,NA,NA,Plantae|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Ixora|javanica,NA,LC,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kien Luong Dist.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG188596/KAG188596.jpg,FALSE,ok
HERB_0005,sample_images/HERB_0005.jpg,6196924843,Litsea lancifolia (Roxb. ex Nees),"colmafu,inmafu",1cbed1d0-f9ac-4b9e-bf3f-a26272bca39e,4fd82480-ea1c-11da-8db4-b8a03c50a862,NA,82d6992a-b20b-4e74-b6ac-6b971b2c485d,4fd82480-ea1c-11da-8db4-b8a03c50a862,JP,EML,2026-07-10T16:35:10.312+00:00,2026-07-18T17:50:18.249+00:00,222,PRESERVED_SPECIMEN,PRESENT,8956507,6,7707728,220,407,6688,3033976,8956507,Litsea lancifolia (Roxb. ex Nees),Plantae,Tracheophyta,Laurales,Lauraceae,Litsea,SPECIES,ACCEPTED,NA,ASIA,Khammouan,NA,Asia|Laos|Khammouan|Khounkham|Phouphamarn walking trail,2024,3,17,2024-03-17,77,77,NA,2025-10-16T00:00:00.000+00:00,2026-07-18T17:50:18.249+00:00,https://www.museum.kagoshima-u.ac.jp/hyouhonsitu.html,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,ad5ebf37-d769-4e49-a3e5-8c0201555e14,none,none,7b6590f0-c03f-409b-ae28-f443c1166d23,e9e6df05-e289-4a64-8ace-a4d5dbd168e4,FALSE,NA,NA,NA,NA,none,Magnoliopsida,LA,none,none,ASIA,Lao People’s Democratic Republic,ASIA,NA,ad5ebf37-d769-4e49-a3e5-8c0201555e14,Z1039,NA,NA,232,NA,Phouphamarn walking trail,NA,"Laos, Khammouan, Khounkham, Phouphamarn walking trail",6196924843,NA,KAG,ad5ebf37-d769-4e49-a3e5-8c0201555e14,NA,NA,KAG187448,KAG,NA,NA,NA,NA,Litsea lancifolia (Roxb. ex Nees),NA,NA,18.17615,104.48995,NA,8956507,Litsea lancifolia,Litsea,lancifolia,NA,NA,NA,WGS84,NA,NA,NA,NA,obtained using GPS machine,NA,NA,NA,NA,NA,Plantae|Tracheophyta|Magnoliopsida|Laurales|Lauraceae|Litsea|lancifolia,NA,LC,NA,NA,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Khounkham,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG187448/KAG187448.jpg,FALSE,ok
HERB_0006,sample_images/HERB_0006.jpg,3461948311,Baccaurea ramiflora Lour.,,b5cdf794-8fa4-4a85-8b26-755d087bf531,2cd829bb-b713-433d-99cf-64bef11e5b3e,17abcf75-2f1e-46dd-bf75-a5b21dd02655,86c2834b-fcd6-418d-9b32-aca45110a0fe,2cd829bb-b713-433d-99cf-64bef11e5b3e,FR,EML,2026-08-13T15:27:43.858+00:00,2026-08-24T16:46:25.884+00:00,606,PRESERVED_SPECIMEN,PRESENT,3082142,6,7707728,220,1414,8807,3070795,3082142,Baccaurea ramiflora Lour.,Plantae,Tracheophyta,Malpighiales,Phyllanthaceae,Baccaurea,SPECIES,ACCEPTED,NA,ASIA,siem réap,none,NA,2021,1,8,2021-01-08,8,8,NA,2022-04-01T08:37:17.000+00:00,2026-08-24T16:46:25.884+00:00,NA,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,http://coldb.mnhn.fr/catalognumber/mnhn/p/p01190818,none,none,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,bc3d39fd-a7d4-4763-b951-2bdeddd8a5d2,FALSE,NA,"Hul, S.|Peou, Y.|Ratanak, V.",Hul,hb,none,Magnoliopsida,KH,none,none,ASIA,Cambodia,EUROPE,NA,http://coldb.mnhn.fr/catalognumber/mnhn/p/p01190818,NA,NA,http://grbio.org/institution/museum-national-dhistoire-naturelle,654,NA,NA,7209,Sangkat Slorkram,3461948311,NA,P,http://coldb.mnhn.fr/catalognumber/mnhn/p/p01190818,NA,NA,P01190818,MNHN,NA,NA,NA,NA,Baccaurea ramiflora Lour.,NA,NA,NA,NA,NA,3082142,Baccaurea ramiflora,Baccaurea,ramiflora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arbuste ou arbre de 4-10 m de haut. Feuilles elliptiques ou obovales. Fleurs mâles ou fleurs femelles sur des individus différents. Fruits comestibles,Phum Daun Pa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://mediaphoto.mnhn.fr/media/1644399616508v1x6nLg4DtlM2maB,FALSE,error
HERB_0007,sample_images/HERB_0007.jpg,5058347825,Macroptilium lathyroides (L.) Urb.,"incomis,inmafu",cd6e21c8-9e8a-493a-8a76-fbf7862069e5,061b4f20-f241-11da-a328-b8a03c50a862,17abcf75-2f1e-46dd-bf75-a5b21dd02655,996e30f8-f762-11e1-a439-00145eb45e9a,061b4f20-f241-11da-a328-b8a03c50a862,GB,DWC_ARCHIVE,2026-08-24T12:51:18.333+00:00,2026-08-24T20:51:07.877+00:00,539,PRESERVED_SPECIMEN,PRESENT,2945063,6,7707728,220,1370,5386,2945015,2945063,Macroptilium lathyroides (L.) Urb.,Plantae,Tracheophyta,Fabales,Fabaceae,Macroptilium,SPECIES,ACCEPTED,NA,ASIA,NA,none,NA,2020,1,13,2020-01-13T00:00,13,13,NA,2025-12-31T10:58:00.420+00:00,2026-08-24T20:51:07.877+00:00,NA,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,K001938885,none,none,fa252605-26f6-426c-9892-94d071c2c77f,NA,FALSE,NA,"Chen, L.M.J.",NA,NA,none,Magnoliopsida,SG,none,none,ASIA,Singapore,EUROPE,NA,K001938885,LCMJ 2020-029,NA,NA,539,NA,Wasteland opposite planting verges of new Bidadari-Woodleigh hillside housing estate construction sites,NA,NA,5058347825,NA,Herbarium,http://specimens.kew.org/herbarium/K001938885,NA,NA,K001938885,K,NA,NA,NA,NA,Macroptilium lathyroides (L.) Urb.,NA,NA,NA,NA,NA,2945063,Macroptilium lathyroides,Macroptilium,lathyroides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fabaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://d2jcv3kl45hlgi.cloudfront.net/0dd2acf53e3c9153c518226616509af1.jpg,FALSE,ok
HERB_0008,sample_images/HERB_0008.jpg,2430565439,Ardisia splendens Pit.,,b5cdf794-8fa4-4a85-8b26-755d087bf531,2cd829bb-b713-433d-99cf-64bef11e5b3e,17abcf75-2f1e-46dd-bf75-a5b21dd02655,86c2834b-fcd6-418d-9b32-aca45110a0fe,2cd829bb-b713-433d-99cf-64bef11e5b3e,FR,EML,2026-08-13T15:27:43.858+00:00,2026-08-24T16:45:38.370+00:00,606,PRESERVED_SPECIMEN,PRESENT,5557720,6,7707728,220,1353,6674,3169458,5557720,Ardisia splendens Pit.,Plantae,Tracheophyta,Ericales,Primulaceae,Ardisia,SPECIES,ACCEPTED,NA,ASIA,mondulkiri,none,NA,2019,2,2,2019-02-02,33,33,NA,2020-01-14T18:34:05.000+00:00,2026-08-24T16:45:38.370+00:00,NA,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00915893,none,none,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,bc3d39fd-a7d4-4763-b951-2bdeddd8a5d2,FALSE,NA,"Hul, S.|Eum, S.|Peou, Y.",Hul,hb,none,Magnoliopsida,KH,none,none,ASIA,Cambodia,EUROPE,NA,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00915893,NA,NA,http://grbio.org/institution/museum-national-dhistoire-naturelle,654,NA,NA,7017,NA,2430565439,NA,P,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00915893,NA,NA,P00915893,MNHN,NA,NA,NA,NA,Ardisia splendens Pit.,NA,NA,NA,NA,NA,5557720,Ardisia splendens,Ardisia,splendens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Arbrisseau de 0,5-1 m de haut. Feuilles spiralées, groupées le long des rameaux, et 2-3 feuilles alternes près du sommet. Inflorescences terminales en panicules ; fleurs à corolle rose, lobes non ponctués. Fruits globuleux, d'env. 4 mm de diamètre""",Pich chréada,Pou Loung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://mediaphoto.mnhn.fr/media/15790232449088RLxCRKh1Ch0Bcgi,TRUE,error
HERB_0009,sample_images/HERB_0009.jpg,5833058934,Heptapleurum simplicifolium (Merr.) G.M.Plunkett & Lowry,"cdc,inmafu",defb9a47-c1a7-4fb2-9a0b-2da7c5260cad,c4cbb860-e9c7-11da-8113-b8a03c50a862,"68e8e67a-43e6-44a3-8817-dc0e6b70f973,0479d6b2-a4f4-4307-8346-0b80e8c88c66",ac2ad091-91eb-482d-a73f-061744da5dbf,96710dc8-fecb-440d-ae3e-c34ae8a9616f,US,DWC_ARCHIVE,2026-08-22T14:49:41.590+00:00,2026-08-24T17:20:30.415+00:00,237,PRESERVED_SPECIMEN,PRESENT,12261406,6,7707728,220,1351,8800,7314503,12261406,Heptapleurum simplicifolium (Merr.) G.M.Plunkett & Lowry,Plantae,Tracheophyta,Apiales,Araliaceae,Heptapleurum,SPECIES,ACCEPTED,NA,ASIA,Bukidnon Province,NA,NA,2024,6,6,2024-06-06,158,158,NA,2026-02-13T16:57:19.000+00:00,2026-08-24T17:20:30.415+00:00,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=34055596,http://creativecommons.org/publicdomain/zero/1.0/legalcode,FALSE,34055596,none,none,a68aaf8c-9bfe-4bec-bab9-70cf5d6cde4a,5a7702f8-a46a-40a0-9eef-26d97ea45b5c,FALSE,NA,"Plants and Lichens of the Southern Philippines Survey; Peter W. Fritsch, Victor B. Amoroso, Fulgent P. Coritico, Darin S. Penneys, Maria Melanie M. Guiang, Vanessa Handley, Noel L. Lagunday, José Ignacio Márquez-Corro, Yvonne L. Cariño, April Joie D. Lagumbay, Noe P. Mendez, Joevina C. Nobleza, Pamela J. O",NA,Pressed herbarium specimen,none,Magnoliopsida,PH,none,none,ASIA,Philippines,NORTH_AMERICA,Botanical Research Institute of Texas,34055596,6681,"Growing on live bark along trail in partial shade of forest. Tropical Lower Montane Rain Forest. Volcanic, mafic bedrock. Aspect: N-facing. No disturbance in area.",NA,237,NA,"Mindanao Island; Bukidnon Province; Municipality of Manolo Fortich; Barangay Dahilayan. N edge of Mt. Kitanglad Natural Park, trail from Dahilayan Indigenous People Eco Park & Resort to Sitio Kumakay.",NA,NA,5833058934,English,BRIT,77378d04-fb8a-46e7-b96b-182c50dc6ac0,NA,NA,BRIT1149189,BRIT,"Only one plant. Additional materials: Photos, DNA. Collections supported by U.S. National Science Foundation grants DEB-1754667 and DEB-1754697.; Epiphytic shrub; infructescences pendent; fruit orangish yellow, juicy, more or less translucent.",NA,1430 m,fea81a47-2365-45cc-bef9-b6bbff7457e6,Heptapleurum simplicifolium (Merr.) G.M.Plunkett & Lowry,NA,NA,8.18288,124.87252,NA,12261406,Heptapleurum simplicifolium,Heptapleurum,simplicifolium,NA,NA,NA,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1430,NA,NA,NA,591534,NA,NA,NA,Barangay Dahilayan,NA,NA,NA,NA,NA,Municipality of Manolo Fortich,NA,NA,6-Jun-24,Mindanao,77378d04-fb8a-46e7-b96b-182c50dc6ac0,http://creativecommons.org/publicdomain/zero/1.0/,NA,NA,NA,NA,abordelon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://web.corral.tacc.utexas.edu/brit/BRIT/BRIT1149000/BRIT1149189.jpg,FALSE,ok
HERB_0010,sample_images/HERB_0010.jpg,3312498081,Inula rhizocephala Schrenk,"cdc,cucdmis,cum",bf2a4bf0-5f31-11de-b67e-b8a03c50a862,98e934b0-5f31-11de-b67e-b8a03c50a862,"8e30b684-6a54-4aba-aa73-66201c2c736e,17abcf75-2f1e-46dd-bf75-a5b21dd02655",f6fe707e-cced-4efc-b5dc-be4c91b8180a,98e934b0-5f31-11de-b67e-b8a03c50a862,GB,DWC_ARCHIVE,2026-08-13T16:38:58.088+00:00,2026-08-24T20:20:59.095+00:00,445,PRESERVED_SPECIMEN,PRESENT,3148489,6,7707728,220,414,3065,3148323,3148489,Inula rhizocephala Schrenk,Plantae,Tracheophyta,Asterales,Asteraceae,Inula,SPECIES,ACCEPTED,NA,ASIA,NA,NA,Northern Asia,2018,8,14,2018-08-14,226,226,NA,2018-11-19T00:00:00.000+00:00,2026-08-24T20:20:59.095+00:00,NA,http://creativecommons.org/publicdomain/zero/1.0/legalcode,FALSE,https://data.rbge.org.uk/herb/E00898562,none,none,0237598a-853a-492c-af74-a723fe251799,427c8cd7-4358-4a00-9ef3-2b2676d28d1e,FALSE,Edinburgh (E) Herbarium Specimens,"Pamirs Expedition to Central Asia Tajikistan,",NA,HERBARIUM SHEET,none,Magnoliopsida,TL,none,none,ASIA,Timor-Leste,EUROPE,NA,https://data.rbge.org.uk/herb/E00898562,68,"Plants in small gully by the side of the road, where it is wet seasonally, Plans were also observed lower down in a wet meadow with cows.;  Vegetation: Acanthelimon, artemisia, and Swertia",https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799,445,NA,Tajikistan:Gorno Badakshan:17 km east of Jilandy on main road M41,NA,NA,3312498081,NA,E,https://data.rbge.org.uk/herb/E00898562,PhysicalObject,NA,E00898562,RBGE,NA,NA,4178m,https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e,Inula rhizocephala Schrenk,NA,NA,37.484167,72.758611,NA,3148489,Inula rhizocephala,Inula,rhizocephala,NA,NA,NA,WGS84,NA,ICBN,NA,NA,NA,NA,NA,NA,E,NA,NA,NA,NA,NA,NA,4178,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14th August 2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC0,Royal Botanic Garden Edinburgh,927436,NA,NA,NA,NA,NA,NA,https://iiif.rbge.org.uk/herb/iiif/E00898562/manifest,FALSE,not_image
